qname	qlen	qstart	qend	strand	tname	tlen	tstart	tend	nmatch	alen	mapq
scaffold_82	143064	65729	66639	+	CP052038.1	6487135	6214172	6215040	189	915	32
scaffold_1617	522	87	179	-	CP052038.1	6487135	4760907	4760999	92	92	30
scaffold_104	98169	44551	45446	+	CP052038.1	6487135	74394	75315	113	925	28
scaffold_19	781025	45900	45976	-	CP052038.1	6487135	3726375	3726451	61	76	28
scaffold_6	1692318	272754	273309	-	CP052038.1	6487135	4749874	4750384	240	566	28
scaffold_4	1881388	495120	497828	+	CP052038.1	6487135	6381871	6384516	227	2718	28
scaffold_12	1155968	731547	731907	+	CP052038.1	6487135	6438908	6439296	117	390	28
scaffold_68	182924	91530	92103	+	CP052038.1	6487135	4763079	4763654	68	575	27
scaffold_175	46490	2422	3152	+	CP052038.1	6487135	6381885	6382618	109	741	26
scaffold_44	359581	173173	175665	+	CP052038.1	6487135	4753042	4755726	212	2694	25
scaffold_315	18631	94	230	+	CP052038.1	6487135	3550804	3550948	65	144	24
scaffold_5	1863748	8205	8893	+	CP052038.1	6487135	4749621	4750196	83	688	24
scaffold_50	298037	147928	150390	+	CP052038.1	6487135	6379962	6382099	237	2468	24
scaffold_5	1863748	15224	15402	+	CP052038.1	6487135	6382439	6382618	86	179	24
scaffold_1	2692756	67035	69611	-	CP052038.1	6487135	25935	28483	77	2611	23
scaffold_61	235649	136643	137702	-	CP052038.1	6487135	5108779	5109883	70	1113	23
scaffold_1669	510	202	297	+	CP052038.1	6487135	6344810	6344905	54	95	22
scaffold_45	358384	228482	229877	-	CP052038.1	6487135	6383612	6384571	226	1398	21
scaffold_12	1155968	736445	737372	-	CP052038.1	6487135	74394	75315	146	930	20
scaffold_1388	609	252	476	+	CP052038.1	6487135	2464199	2464421	53	224	20
scaffold_45	358384	109749	109885	-	CP052038.1	6487135	6442648	6442784	58	136	20
scaffold_14	908909	131287	132248	+	CP052038.1	6487135	74279	75265	96	986	19
scaffold_9	1406917	1041780	1041946	-	CP052038.1	6487135	4564942	4565112	58	170	19
scaffold_1479	564	417	520	-	CP052038.1	6487135	3123297	3123410	58	113	18
scaffold_1657	513	440	513	+	CP052038.1	6487135	4750177	4750250	63	73	18
scaffold_1324	644	561	613	+	CP052038.1	6487135	4942791	4942843	52	52	18
scaffold_30	507731	476822	477623	-	CP052038.1	6487135	80377	81149	183	807	17
scaffold_122	81337	69342	69556	-	CP052038.1	6487135	6402033	6402246	55	214	17
scaffold_51	297976	278080	278210	-	CP052038.1	6487135	386381	386511	98	130	15
scaffold_1087	846	644	735	+	CP052038.1	6487135	3411102	3411193	53	91	15
scaffold_131	76605	57095	57192	+	CP052038.1	6487135	4752697	4752782	61	97	15
scaffold_10	1239786	144180	144387	-	CP052038.1	6487135	6384383	6384585	101	207	15
scaffold_10	1239786	799394	800224	+	CP052038.1	6487135	29528	30355	57	830	14
scaffold_129	76929	67782	68134	+	CP052038.1	6487135	212843	213195	57	352	14
scaffold_21	738175	228730	228789	+	CP052038.1	6487135	223415	223474	52	59	14
scaffold_128	78074	36850	36931	-	CP052038.1	6487135	386430	386511	68	81	14
scaffold_1379	615	176	433	-	CP052038.1	6487135	1070904	1071175	52	271	14
scaffold_1502	557	21	488	+	CP052038.1	6487135	1929932	1930399	57	467	14
scaffold_1390	608	7	477	+	CP052038.1	6487135	5725264	5725734	57	470	14
scaffold_4	1881388	514813	514971	-	CP052038.1	6487135	6382419	6382599	58	180	14
scaffold_4	1881388	1863565	1863924	-	CP052038.1	6487135	6437130	6437492	57	362	14
scaffold_75	154281	90522	90603	+	CP052038.1	6487135	386430	386511	60	81	13
scaffold_11	1212133	207754	209432	-	CP052038.1	6487135	4725940	4727544	84	1678	13
scaffold_175	46490	2317	2508	+	CP052038.1	6487135	4736970	4737156	57	191	13
scaffold_51	297976	63912	64538	+	CP052038.1	6487135	213039	213665	50	626	12
scaffold_30	507731	478657	479261	-	CP052038.1	6487135	6382165	6382637	131	604	12
scaffold_220	33416	5	201	-	CP052038.1	6487135	6383814	6384010	62	196	12
scaffold_1545	539	65	271	+	CP052038.1	6487135	2025607	2025830	57	223	11
scaffold_11	1212133	201913	202307	-	CP052038.1	6487135	6214647	6215040	136	399	11
scaffold_1669	510	23	131	+	CP052038.1	6487135	6342396	6342504	49	108	11
scaffold_1	2692756	168	12088	-	CP052038.1	6487135	6394308	6409213	5344	16763	11
scaffold_1147	773	92	667	+	CP052038.1	6487135	2996711	2997245	56	575	10
scaffold_28	539988	163426	163727	-	CP052038.1	6487135	4832367	4832693	57	326	10
scaffold_10	1239786	1041398	1041560	-	CP052038.1	6487135	6403057	6403219	52	162	10
scaffold_67	184376	77714	78744	+	CP052038.1	6487135	6441754	6442784	138	1035	10
scaffold_32	471417	12346	13052	+	CP052038.1	6487135	6412397	6413131	57	734	9
scaffold_1589	528	318	367	+	CP052038.1	6487135	6381107	6381156	49	49	8
scaffold_30	507731	20603	20877	+	CP052038.1	6487135	4719046	4719323	76	278	7
scaffold_144	69844	10706	14067	+	CP052038.1	6487135	5120598	5123921	57	3361	7
scaffold_1125	793	426	553	+	CP052038.1	6487135	4157129	4157256	45	127	6
scaffold_8	1419871	1291600	1291679	+	CP052038.1	6487135	4736970	4737049	61	79	6
scaffold_1711	501	93	311	+	CP052038.1	6487135	4760839	4761061	74	222	6
scaffold_20	777291	15049	20376	-	CP052038.1	6487135	4750544	4755726	298	5328	5
scaffold_45	358384	313463	313636	-	CP052038.1	6487135	6342531	6342704	108	173	5
scaffold_131	76605	57017	57120	+	CP052038.1	6487135	6343415	6343521	48	106	5
scaffold_12	1155968	712458	712581	-	CP052038.1	6487135	6384489	6384613	46	124	5
scaffold_68	182924	177738	177842	-	CP052038.1	6487135	6416763	6416867	46	104	5
scaffold_4	1881388	534074	535070	+	CP052038.1	6487135	6342527	6343521	134	996	4
scaffold_45	358384	227737	227898	+	CP052038.1	6487135	6342531	6342692	105	161	4
scaffold_315	18631	12306	12389	-	CP052038.1	6487135	6343521	6343603	51	83	4
scaffold_431	11085	226	756	-	CP052038.1	6487135	7394	7987	183	593	3
scaffold_1255	684	154	309	+	CP052038.1	6487135	6342522	6342677	98	155	3
scaffold_35	440808	275030	275966	+	CP052038.1	6487135	6441754	6442784	165	1030	3
scaffold_45	358384	111198	111430	-	CP052038.1	6487135	6465760	6466024	66	264	3
scaffold_40	392173	59505	60049	+	CP052038.1	6487135	74311	74864	87	556	2
scaffold_62	231438	219423	220489	-	CP052038.1	6487135	6214077	6215009	174	1066	2
scaffold_104	98169	41569	42346	-	CP052038.1	6487135	6381862	6382618	68	781	2
scaffold_122	81337	47698	48512	+	CP052038.1	6487135	6438876	6439686	205	822	2
scaffold_315	18631	18512	18625	-	CP052038.1	6487135	3550835	3550948	80	113	1
scaffold_336	17138	9	122	+	CP052038.1	6487135	3550835	3550948	80	113	1
scaffold_2	2503568	2503451	2503564	-	CP052038.1	6487135	3550835	3550948	80	113	1
scaffold_149	65637	4	117	+	CP052038.1	6487135	3550835	3550948	80	113	1
scaffold_10	1239786	169737	173307	-	CP052038.1	6487135	6380834	6384546	176	3712	1
scaffold_45	358384	267555	267710	-	CP052038.1	6487135	6384430	6384585	111	155	1
scaffold_153	61587	9718	10074	+	CP052038.1	6487135	5140	5496	129	356	0
scaffold_175	46490	7415	9000	+	CP052038.1	6487135	6359	7987	529	1628	0
scaffold_48	348853	65470	66003	-	CP052038.1	6487135	7394	7987	114	593	0
scaffold_106	94230	47989	48030	+	CP052038.1	6487135	7553	7594	41	41	0
scaffold_336	17138	3953	4508	+	CP052038.1	6487135	73009	73536	92	555	0
scaffold_44	359581	209077	210199	+	CP052038.1	6487135	74279	75315	126	1122	0
scaffold_1	2692756	35644	36675	+	CP052038.1	6487135	74311	75315	172	1031	0
scaffold_82	143064	67378	68196	-	CP052038.1	6487135	74311	75212	132	901	0
scaffold_131	76605	55558	56462	-	CP052038.1	6487135	74311	75225	177	920	0
scaffold_315	18631	5586	6451	-	CP052038.1	6487135	74311	75164	85	877	0
scaffold_4	1881388	534074	535124	-	CP052038.1	6487135	74328	75310	131	1062	0
scaffold_145	69505	66693	67635	-	CP052038.1	6487135	74328	75264	95	942	0
scaffold_5	1863748	20726	21606	-	CP052038.1	6487135	74394	75233	109	891	0
scaffold_131	76605	7852	8689	-	CP052038.1	6487135	74394	75310	91	916	0
scaffold_44	359581	200370	201212	+	CP052038.1	6487135	74394	75205	91	846	0
scaffold_175	46490	2422	3152	-	CP052038.1	6487135	74394	75189	100	799	0
scaffold_66	184824	2611	3533	-	CP052038.1	6487135	74400	75310	160	930	0
scaffold_315	18631	6918	7823	-	CP052038.1	6487135	74422	75315	76	905	0
scaffold_62	231438	219438	220179	-	CP052038.1	6487135	74595	75264	112	741	0
scaffold_1417	596	44	530	+	CP052038.1	6487135	74845	75315	195	486	0
scaffold_1711	501	179	311	+	CP052038.1	6487135	75132	75264	92	132	0
scaffold_82	143064	66459	66639	+	CP052038.1	6487135	75145	75310	98	180	0
scaffold_1255	684	154	309	-	CP052038.1	6487135	75160	75315	67	155	0
scaffold_28	539988	186805	186959	-	CP052038.1	6487135	75160	75315	48	155	0
scaffold_8	1419871	1291717	1291822	+	CP052038.1	6487135	75160	75264	57	105	0
scaffold_71	175185	148451	149310	+	CP052038.1	6487135	80242	81104	118	866	0
scaffold_6	1692318	1550037	1550234	-	CP052038.1	6487135	80264	80461	100	197	0
scaffold_6	1692318	1654910	1655270	+	CP052038.1	6487135	80278	80656	103	380	0
scaffold_122	81337	47800	48512	-	CP052038.1	6487135	80293	81000	84	712	0
scaffold_16	897138	555	851	+	CP052038.1	6487135	212861	213157	89	296	0
scaffold_77	149510	98485	98826	+	CP052038.1	6487135	212999	213340	103	341	0
scaffold_70	181850	30507	37993	+	CP052038.1	6487135	213750	221375	152	7635	0
scaffold_102	100464	74917	75084	+	CP052038.1	6487135	213937	214104	153	167	0
scaffold_48	348853	333543	341163	+	CP052038.1	6487135	213937	221747	375	7810	0
scaffold_343	16140	2921	3061	+	CP052038.1	6487135	213937	214075	85	140	0
scaffold_21	738175	55591	55757	+	CP052038.1	6487135	213939	214104	138	166	0
scaffold_70	181850	173079	180728	-	CP052038.1	6487135	213966	221747	401	7781	0
scaffold_32	471417	2675	10327	-	CP052038.1	6487135	213978	221718	184	7773	0
scaffold_129	76929	56613	57397	-	CP052038.1	6487135	214114	214898	97	784	0
scaffold_75	154281	102275	102612	+	CP052038.1	6487135	221393	221718	76	337	0
scaffold_102	100464	74917	75086	+	CP052038.1	6487135	221580	221749	155	169	0
scaffold_343	16140	2921	3061	+	CP052038.1	6487135	221580	221718	85	140	0
scaffold_21	738175	55591	55757	+	CP052038.1	6487135	221582	221747	138	166	0
scaffold_212	35064	7180	7320	+	CP052038.1	6487135	221609	221749	95	140	0
scaffold_143	70430	17025	17124	+	CP052038.1	6487135	221621	221718	52	99	0
scaffold_66	184824	21	116	+	CP052038.1	6487135	287455	287550	68	95	0
scaffold_42	372282	370653	370714	+	CP052038.1	6487135	287455	287516	49	61	0
scaffold_347	15918	15801	15896	-	CP052038.1	6487135	287455	287550	68	95	0
scaffold_145	69505	69388	69483	-	CP052038.1	6487135	287455	287550	68	95	0
scaffold_96	109087	21	116	+	CP052038.1	6487135	287455	287550	68	95	0
scaffold_731	2806	2576	2671	-	CP052038.1	6487135	287455	287550	49	95	0
scaffold_190	40947	36408	36484	-	CP052038.1	6487135	386381	386457	61	76	0
scaffold_980	1046	24	101	-	CP052038.1	6487135	1485834	1485911	52	77	0
scaffold_126	79365	72970	73010	+	CP052038.1	6487135	2749619	2749659	40	40	0
scaffold_126	79365	72970	73010	+	CP052038.1	6487135	2749622	2749662	40	40	0
scaffold_126	79365	72970	73010	+	CP052038.1	6487135	2749625	2749665	40	40	0
scaffold_126	79365	72970	73010	+	CP052038.1	6487135	2749628	2749668	40	40	0
scaffold_45	358384	172568	174759	-	CP052038.1	6487135	2775431	2777622	749	2194	0
scaffold_122	81337	59859	61931	+	CP052038.1	6487135	2775431	2777503	730	2075	0
scaffold_68	182924	46669	48870	+	CP052038.1	6487135	2775431	2777622	903	2201	0
scaffold_1643	517	46	516	-	CP052038.1	6487135	2775513	2775983	111	470	0
scaffold_5	1863748	1861670	1863641	+	CP052038.1	6487135	2775545	2777516	458	1974	0
scaffold_249	26889	3750	3857	-	CP052038.1	6487135	2775690	2775797	78	107	0
scaffold_11	1212133	52451	53846	-	CP052038.1	6487135	2775730	2777125	313	1395	0
scaffold_1	2692756	122881	123257	+	CP052038.1	6487135	2777064	2777443	57	379	0
scaffold_37	420435	333411	333539	+	CP052038.1	6487135	3550804	3550940	113	136	0
scaffold_46	353283	198929	198985	+	CP052038.1	6487135	3779884	3779940	56	56	0
scaffold_45	358384	172568	174759	+	CP052038.1	6487135	4103306	4105497	749	2194	0
scaffold_68	182924	46669	48870	-	CP052038.1	6487135	4103306	4105497	903	2201	0
scaffold_5	1863748	1861670	1863641	-	CP052038.1	6487135	4103412	4105383	458	1974	0
scaffold_122	81337	59859	61931	-	CP052038.1	6487135	4103425	4105497	730	2075	0
scaffold_11	1212133	52451	53846	+	CP052038.1	6487135	4103803	4105198	313	1395	0
scaffold_1643	517	46	516	+	CP052038.1	6487135	4104945	4105415	111	470	0
scaffold_249	26889	3750	3857	+	CP052038.1	6487135	4105131	4105238	78	107	0
scaffold_262	24986	6233	6955	-	CP052038.1	6487135	4182572	4183291	57	722	0
scaffold_44	359581	206380	206769	-	CP052038.1	6487135	4716657	4717054	97	400	0
scaffold_1402	605	73	134	-	CP052038.1	6487135	4716657	4716719	46	62	0
scaffold_42	372282	359576	359675	-	CP052038.1	6487135	4717557	4717656	85	99	0
scaffold_145	69505	64494	64712	-	CP052038.1	6487135	4717557	4717771	71	218	0
scaffold_312	19256	13310	13353	+	CP052038.1	6487135	4717563	4717606	43	43	0
scaffold_61	235649	96929	97275	+	CP052038.1	6487135	4717604	4717959	76	355	0
scaffold_149	65637	61900	62460	-	CP052038.1	6487135	4720332	4720919	52	587	0
scaffold_26	567511	566718	567340	-	CP052038.1	6487135	4721620	4722243	85	623	0
scaffold_10	1239786	174651	175485	+	CP052038.1	6487135	4722846	4723680	93	834	0
scaffold_104	98169	91534	91714	-	CP052038.1	6487135	4723572	4723750	87	180	0
scaffold_4	1881388	534090	535116	+	CP052038.1	6487135	4736970	4737961	119	1038	0
scaffold_44	359581	209134	210153	-	CP052038.1	6487135	4736995	4737961	110	1019	0
scaffold_66	184824	2732	3662	+	CP052038.1	6487135	4737075	4738026	101	951	0
scaffold_1617	522	100	201	+	CP052038.1	6487135	4737075	4737175	63	101	0
scaffold_220	33416	30134	30465	+	CP052038.1	6487135	4737085	4737427	110	343	0
scaffold_907	1333	130	1322	-	CP052038.1	6487135	4747305	4748497	538	1194	0
scaffold_111	88385	71388	71490	+	CP052038.1	6487135	4749358	4749460	82	102	0
scaffold_71	175185	148536	149374	-	CP052038.1	6487135	4749372	4750289	225	917	0
scaffold_97	105629	101508	102396	+	CP052038.1	6487135	4749441	4750258	151	888	0
scaffold_30	507731	476876	477642	+	CP052038.1	6487135	4749457	4750258	117	803	0
scaffold_6	1692318	294414	295161	+	CP052038.1	6487135	4749507	4750323	150	816	0
scaffold_111	88385	71703	71985	+	CP052038.1	6487135	4750106	4750384	131	286	0
scaffold_30	507731	498767	498931	-	CP052038.1	6487135	4750121	4750289	126	168	0
scaffold_315	18631	6969	7158	-	CP052038.1	6487135	4750121	4750323	90	202	0
scaffold_2	2503568	2502099	2502497	+	CP052038.1	6487135	4750642	4751039	57	398	0
scaffold_62	231438	229410	230152	-	CP052038.1	6487135	4750650	4751391	95	742	0
scaffold_39	398046	117152	117886	-	CP052038.1	6487135	4750650	4751391	119	741	0
scaffold_20	777291	15177	20391	+	CP052038.1	6487135	4750686	4755755	288	5215	0
scaffold_25	600164	598754	598981	-	CP052038.1	6487135	4750875	4751102	76	227	0
scaffold_20	777291	795	1053	+	CP052038.1	6487135	4753042	4753299	83	258	0
scaffold_30	507731	480687	480995	-	CP052038.1	6487135	4753309	4753617	102	308	0
scaffold_25	600164	598754	598928	+	CP052038.1	6487135	4753443	4753617	69	174	0
scaffold_10	1239786	169697	170693	-	CP052038.1	6487135	4754759	4755755	196	997	0
scaffold_35	440808	269174	270145	-	CP052038.1	6487135	4754759	4755740	146	981	0
scaffold_4	1881388	537494	538400	-	CP052038.1	6487135	4754782	4755685	185	906	0
scaffold_131	76605	60866	61829	-	CP052038.1	6487135	4754782	4755755	201	973	0
scaffold_45	358384	301444	302419	-	CP052038.1	6487135	4754782	4755755	233	975	0
scaffold_20	777291	795	1740	+	CP052038.1	6487135	4754782	4755726	110	947	0
scaffold_10	1239786	165339	166268	-	CP052038.1	6487135	4754782	4755726	182	945	0
scaffold_62	231438	229299	230162	+	CP052038.1	6487135	4754782	4755644	115	863	0
scaffold_9	1406917	474534	475463	+	CP052038.1	6487135	4754799	4755726	158	929	0
scaffold_4	1881388	529654	530488	+	CP052038.1	6487135	4754883	4755726	150	844	0
scaffold_62	231438	223396	224195	+	CP052038.1	6487135	4754988	4755794	114	813	0
scaffold_35	440808	254807	255582	+	CP052038.1	6487135	4754988	4755762	178	775	0
scaffold_62	231438	230580	231277	+	CP052038.1	6487135	4754988	4755685	95	697	0
scaffold_220	33416	16965	17515	-	CP052038.1	6487135	4755007	4755556	76	550	0
scaffold_39	398046	132456	132585	-	CP052038.1	6487135	4755625	4755755	102	130	0
scaffold_220	33416	32706	32811	-	CP052038.1	6487135	4755650	4755755	84	105	0
scaffold_220	33416	30134	30470	-	CP052038.1	6487135	4760646	4760976	91	336	0
scaffold_14	908909	131933	132247	+	CP052038.1	6487135	4760747	4761061	70	314	0
scaffold_28	539988	186900	186979	-	CP052038.1	6487135	4760939	4761016	66	79	0
scaffold_66	184824	2611	2776	-	CP052038.1	6487135	4760942	4761107	99	165	0
scaffold_44	359581	210029	210194	+	CP052038.1	6487135	4760942	4761107	104	165	0
scaffold_1255	684	159	309	-	CP052038.1	6487135	4760957	4761107	67	150	0
scaffold_8	1419871	1291717	1291834	+	CP052038.1	6487135	4760957	4761073	58	117	0
scaffold_8	1419871	1291584	1291657	-	CP052038.1	6487135	4761034	4761107	54	73	0
scaffold_6	1692318	295134	295665	+	CP052038.1	6487135	4761034	4761696	131	662	0
scaffold_6	1692318	272021	272475	-	CP052038.1	6487135	4761220	4761696	106	476	0
